11||8||168                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||9||9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
11||28||21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||29||49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||30||49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||37||49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||38||49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||62||81                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||73||40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||95||19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||96||28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||97||12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
11||158||23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||162||31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||167||31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||171||39                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||172||39                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||178||23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||182||59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||187||29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||188||303                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
11||189||705                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
11||194||17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||197||16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||200||59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||201||44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||203||17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||204||32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||206||12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||211||19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||212||42                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||213||58                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||219||20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||220||36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||222||20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||223||36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||230||18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||234||33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||236||26                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||237||32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||239||12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||240||34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||241||49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||242||13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
11||247||139                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
